titulo,popularidade,nota_media,generos
Quarteto Fantástico: Primeiros Passos,569.732,7.173,"Aventura, Ficção científica"
Mantis,445.4668,5.9,"Crime, Ação, Thriller"
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,422.5458,7.8,"Ação, Fantasia, Animação, Thriller"
Prisoner of War,387.7022,7.204,"Thriller, História, Ação, Guerra"
A Guerra dos Mundos,351.3123,4.393,"Thriller, Ficção científica"
Primitive War,315.5567,7.198,"Terror, Guerra, Ação"
Valiant One,259.3684,6.348,"Ação, Guerra"
Invocação do Mal 4: O Último Ritual,235.7667,6.5,Terror
Django Undisputed,223.4564,5.8,Faroeste
Assassin,200.7581,0.0,Ação
Uma Batalha Após A Outra,200.2457,7.7,"Thriller, Ação, Crime"
A Hora do Mal,170.3064,7.404,"Mistério, Terror"
Superman,166.8212,7.5,"Ficção científica, Ação, Aventura"
Anônimo 2,152.4998,7.149,"Thriller, Ação"
Gatilheiro,144.414,5.9,"Ação, Thriller"
Guerreiras do K-Pop,142.4078,8.281,"Comédia, Família, Música, Animação, Fantasia, Aventura"
Batman Azteca: Choque de imperios,139.7564,7.8,"Animação, Fantasia, Aventura, Ação"
O Homem no Meu Porão,134.0456,6.3,"Terror, Thriller, Mistério"
F1 - O Filme,128.4985,7.836,"Drama, Ação"
Missão: Impossível - O Acerto Final,127.1358,7.27,"Thriller, Ação, Aventura"
위험한 사촌동생,125.0964,9.0,Drama
Como Treinar o Seu Dragão,123.3764,8.033,"Aventura, Fantasia, Família, Ação"
Jurassic World: Recomeço,115.19,6.402,"Ação, Ficção científica, Aventura"
Corra Que a Polícia Vem Aí!,114.1182,6.6,"Comédia, Crime, Ação"
Chainsaw Man – O Filme: Arco da Reze,111.8558,9.3,"Fantasia, Animação, Ação"
Donde tú quieras,108.1544,6.0,Ação
Red Sonja,102.0387,5.78,"Aventura, Fantasia, Ação"
Por Inteiro,99.5645,6.47,"Drama, Romance"
Triplo X,98.9811,6.0,"Ação, Crime, Thriller, Aventura"
Humane,96.8227,5.393,"Ficção científica, Terror, Thriller"
French Lover,95.2856,5.484,"Comédia, Romance"
Juntos,93.8965,7.213,Terror
Os Caras Malvados 2,87.6829,7.8,"Família, Comédia, Crime, Aventura, Animação"
Tuhog,81.6883,5.9,"Drama, Romance"
Missão Resgate: Vingança,80.2498,6.359,"Thriller, Ação, Drama"
O Retorno do Morto-Vivo,78.0766,5.5,Terror
Treinamento Brutal,76.647,6.424,"Crime, Ação"
Ne Zha 2: O Renascer da Alma,74.3525,8.1,"Fantasia, Aventura, Animação, Ação"
Lilo & Stitch,73.7631,7.276,"Comédia, Ficção científica, Aventura, Família"
A Meia-Irmã Feia,70.2279,7.232,"Drama, Terror, Fantasia, Comédia"
Rute e Boaz,69.5096,7.1,"Drama, Música, Romance"
Ladrões,68.941,7.0,"Thriller, Comédia, Crime"
못말리는 사촌동생,67.3538,2.0,Drama
Swingers: Os Limites do Amor,66.5808,6.0,"Drama, Romance"
Bailarina - Do Universo de John Wick,65.7647,7.355,"Crime, Thriller, Ação"
Interestelar,62.3897,8.461,"Drama, Aventura, Ficção científica"
Batman: O Cavaleiro das Trevas,61.2406,8.5,"Drama, Ação, Crime, Thriller"
Stockholm Bloodbath,59.5984,6.314,"Drama, Aventura, Guerra, Ação, História"
Elio,57.9238,6.9,"Comédia, Família, Ficção científica, Animação, Aventura"
새엄마의 욕망,57.6779,7.2,"Romance, Drama"
Velocidade Total,57.6035,5.852,"Thriller, Crime, Ação"
American Sweatshop,55.9023,4.9,"Mistério, Thriller"
Detetive Dee: Os Quatro Reis Celestiais,55.632,6.234,"Aventura, Fantasia, Ação, Mistério"
A Longa Marcha: Caminhe ou Morra,55.2811,7.189,"Thriller, Terror"
セクシー・オーラル 浮気な唇,54.9266,6.0,Drama
Premonição 6: Laços de Sangue,54.3955,7.117,"Terror, Mistério"
"Oi, Sumido!",54.0766,6.3,"Romance, Comédia"
Kiskisan,53.6626,6.8,Drama
Operação Resgate,53.4986,7.5,"Ação, Thriller, Crime"
Deu Match: A Rainha de Apps de Namoro,53.1543,6.9,"Drama, História"
Motorista de Fuga,50.1398,6.427,"Comédia, Thriller, Ação"
లైలా,49.4399,5.8,"Romance, Comédia"
Maalikaya,49.2734,7.8,"Drama, Romance"
Eu Sei o Que Vocês Fizeram no Verão Passado,47.4896,5.942,"Mistério, Thriller, Terror"
The Partisan,46.3952,3.7,"Thriller, História, Guerra"
M3GAN 2.0,45.937,7.452,"Thriller, Ficção científica, Ação"
Ne Zha,45.4455,7.898,"Animação, Aventura, Fantasia"
Extermínio: A Evolução,44.7633,6.732,"Thriller, Terror, Ficção científica"
Plano em Família,44.5714,7.253,"Família, Ação, Comédia"
Minha Culpa,44.2717,7.776,"Drama, Romance"
Drácula - Uma História de Amor Eterno,44.1626,7.193,"Romance, Terror, Fantasia"
Amores à Parte,43.9993,6.6,Comédia
Os Vingadores: The Avengers,42.8995,7.8,"Ficção científica, Aventura, Ação"
Thunderbolts*,42.8665,7.343,"Ação, Aventura, Ficção científica"
Looney Tunes - O Filme: O Dia Que a Terra Explodiu,42.6969,7.7,"Animação, Aventura, Família, Comédia, Ficção científica"
Karatê Kid: Lendas,42.6768,7.1,"Ação, Aventura, Drama"
Invocação do Mal,42.4358,7.54,"Thriller, Terror"
La hacienda: El regreso de los malditos,41.8059,5.333,Terror
Uma Sexta-Feira Mais Louca Ainda,41.6886,6.9,"Família, Fantasia, Comédia"
Adulthood,41.0235,5.8,"Crime, Comédia, Drama, Mistério"
Anaconda,41.0051,7.267,"Terror, Thriller, Aventura"
Des jours plus belles que la nuit,40.7178,6.1,Romance
Avatar: O Caminho da Água,39.979,7.61,"Aventura, Ação, Ficção científica"
O Ritual,39.2532,5.8,"Terror, Drama, Thriller"
Faça Ela Voltar,38.9981,7.422,Terror
Downton Abbey: O Grande Final,38.5949,7.741,"Drama, Romance"
Minha Família Muito Louca!,38.514,7.0,"Família, Fantasia, Animação"
Night Carnage,38.3308,5.865,"Terror, Ação, Romance"
Kiss and Kill,36.6928,5.3,"Romance, Thriller, Mistério"
Invocação do Mal 3: A Ordem do Demônio,36.6337,7.4,"Terror, Thriller, Mistério"
Ligaw,36.5594,7.2,"Romance, Drama"
Como Virei Gângster,36.0466,7.0,"Crime, Ação"
Pecadores,35.9345,7.545,"Ação, Thriller, Terror"
Lendas dos Heróis do Condor: Os Valentes,35.4035,6.777,"Ação, História, Drama"
Um Filme Minecraft,34.6359,6.364,"Comédia, Aventura, Família"
Linha de Fogo,34.5515,6.263,"Thriller, Ação"
Kaiju No. 8: Missão de Reconhecimento,34.4923,7.9,"Ficção científica, Animação, Ação"
The Home,34.4851,6.5,"Terror, Thriller, Mistério"
A Paris Errada,34.3078,6.613,"Comédia, Romance"
Lookout,33.699,6.4,"Thriller, Terror, Ficção científica"
Osíris,33.6572,6.538,"Ficção científica, Ação, Terror"
Smurfs,33.6424,6.0,"Família, Animação, Fantasia"
O Segredo do Abrigo,33.4051,5.0,Thriller
Moana 2,33.3815,7.036,"Família, Comédia, Animação, Aventura"
O Veterano,33.2155,5.8,"Thriller, Ação, Crime"
Fabula,32.9522,8.0,"Comédia, Crime, Fantasia"
Harry Potter e a Pedra Filosofal,32.4271,7.9,"Aventura, Fantasia"
Caçadores Do Fim Do Mundo,32.1649,5.357,"Ficção científica, Ação, Comédia"
A Mãe e a Maldição,32.0117,6.679,Terror
Amor Enrolado,31.6421,8.485,"Comédia, Romance, Drama"
Divertida Mente 2,31.6277,7.552,"Aventura, Animação, Comédia, Família"
Deadpool & Wolverine,31.6168,7.578,"Ação, Comédia, Ficção científica"
Luta de Classes,31.5366,5.755,"Thriller, Drama, Crime"
Entre Montanhas,31.4915,7.692,"Romance, Ficção científica, Thriller"
封神第二部：战火西岐,31.3574,6.404,"Guerra, Fantasia, Ação"
Deus Não Está Morto: Em Deus Confiamos,31.144,4.944,Drama
A Grande Viagem Da Sua Vida,30.8538,6.118,"Drama, Fantasia, Romance"
여자 전쟁: 이사 온 남자,30.6713,10.0,Drama
Chefes de Estado,30.6531,6.9,"Comédia, Ação, Thriller"
O Vingador Tóxico,30.4751,5.9,"Ação, Comédia, Ficção científica"
A Noiva Cadáver,30.4438,7.582,"Animação, Fantasia, Romance"
Resgate Implacável,29.9656,6.707,"Ação, Crime, Thriller"
Hostile Takeover,29.809,7.517,"Comédia, Ação, Thriller"
부부 교환 - 무삭제,29.6696,9.8,Romance
Demon Slayer: Mugen Train - O Filme,29.6185,8.2,"Fantasia, Animação, Ação, Thriller"
O Que Realmente Importa,29.481,7.0,"Drama, Romance"
Mayumi,29.4651,7.0,Drama
Animais Perigosos,29.4267,6.488,"Thriller, Terror"
Os Incríveis,29.1849,7.718,"Aventura, Animação, Ação, Família"
Vingadores: Guerra Infinita,29.024,8.236,"Ficção científica, Aventura, Ação"
O Mapa Que Me Leva Até Você,28.8382,6.56,"Romance, Drama"
O Poderoso Chefão,28.7339,8.686,"Drama, Crime"
Um Sonho de Liberdade,28.6613,8.713,"Drama, Crime"
Sonic 3: O Filme,28.618,7.655,"Comédia, Ação, Família, Ficção científica"
Dead Bride,28.4554,4.8,"Terror, Thriller"
Invocação do Mal 2,28.3776,7.294,Terror
捕风追影,28.2826,7.387,"Thriller, Crime, Ação"
A Última Missão,28.1708,6.524,"Crime, Comédia, Ação"
O Esquadrão Suicida,28.0392,7.5,"Aventura, Comédia, Ação"
Sua Culpa,28.0022,7.126,"Romance, Drama"
GOAT,27.8615,5.6,"Terror, Mistério"
सितारे ज़मीन पर,27.8325,7.6,"Drama, Comédia"
Minha Culpa: Londres,27.8194,7.5,"Drama, Romance"
365 Dias: Hoje,27.4153,5.92,"Romance, Drama"
Conjuring the Cult,27.2897,5.641,"Drama, Terror"
Amores Materialistas,27.1782,6.565,"Drama, Romance"
Nu,27.0537,9.4,Documentário
劇場編集版 かくしごと ―ひめごとはなんですか―,26.8681,7.1,"Comédia, Animação"
Cuatro paredes,26.6713,5.25,Drama
A Substância,26.4058,7.155,"Terror, Ficção científica, Drama"
La zona vacía,26.3694,2.0,Drama
Meu Malvado Favorito 4,26.3597,7.013,"Animação, Família, Comédia, Ficção científica"
Número Desconhecido: Catfishing na Escola,25.9277,6.961,Documentário
O Lobo de Wall Street,25.893,8.028,"Comédia, Crime, Drama"
"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",25.7423,7.133,"Fantasia, Aventura, Família"
女教師 生徒の眼の前で,25.4246,6.4,"Drama, Terror, Mistério"
Avatar,25.3853,7.594,"Aventura, Fantasia, Ação, Ficção científica"
Благословите женщину,25.2524,5.808,"Drama, Romance"
Homem-Aranha: Sem Volta Para Casa,25.2466,7.939,"Ficção científica, Aventura, Ação"
Velozes & Furiosos 10,25.2108,7.024,"Crime, Aventura, Thriller, Mistério, Ação"
Anônimo,25.194,7.91,"Ação, Thriller"
O Contador 2,24.9035,7.143,"Thriller, Crime, Mistério"
Clube da Luta,24.7029,8.4,"Drama, Thriller"
Pretty Thing,24.6192,5.9,"Drama, Thriller"
The Island of Lost Girls,24.5361,5.2,"Família, Thriller, Aventura"
Apenas Amigos,24.3003,7.1,"Drama, Comédia, Romance"
Toy Story: Um Mundo de Aventuras,24.2714,7.969,"Família, Comédia, Animação"
Kung Fu Panda 4,24.224,7.0,"Ação, Comédia, Aventura, Fantasia, Animação, Família"
Venom: A Última Rodada,24.1496,6.698,"Aventura, Ação, Ficção científica"
Predador: Assassino de Assassinos,24.1457,7.898,"Ficção científica, Ação, Thriller, Animação"
Capitão América: Admirável Mundo Novo,24.0584,6.028,"Ação, Ficção científica, Thriller"
Confiança,23.9482,5.9,Thriller
레깅스 마니아,23.6484,7.3,"Drama, Romance"
Rob1n: Inteligência Assassina,23.6195,5.244,"Terror, Thriller"
Maze Runner: Correr ou Morrer,23.55,7.192,"Ficção científica, Mistério, Ação, Thriller"
Sirāt,23.5204,7.0,"Drama, Mistério, Thriller"
A Origem,23.4836,8.37,"Aventura, Ação, Ficção científica"
Alien - Romulus,23.4011,7.2,"Ficção científica, Terror"
William Tell,23.3405,6.48,"História, Drama, Ação"
O Senhor dos Anéis: A Sociedade do Anel,22.9977,8.4,"Ação, Fantasia, Aventura"
Os Incríveis 2,22.8023,7.455,"Aventura, Animação, Ação, Família"
Hotel Desire,22.718,6.153,"Romance, Drama"
O Hobbit: A Batalha dos Cinco Exércitos,22.5425,7.327,"Fantasia, Aventura, Ação"
Viva: A Vida é uma Festa,22.5087,8.202,"Aventura, Animação, Família, Música"
